created_at,value_ultrasonic,value_matchface,hour
2024-11-02 05:24:19,0,0,5
2024-11-02 05:24:35,0,0,5
2024-11-02 05:24:50,0,0,5
2024-11-02 05:25:05,0,0,5
2024-11-02 05:25:20,0,0,5
2024-11-02 05:25:35,0,0,5
2024-11-02 05:25:59,0,0,5
2024-11-02 05:26:15,0,0,5
2024-11-02 05:26:38,1,0,5
2024-11-02 05:26:54,0,0,5
2024-11-02 05:27:10,0,0,5
2024-11-02 05:27:26,0,0,5
2024-11-02 05:27:32,1,0,5
2024-11-02 05:27:37,0,0,5
2024-11-02 05:27:39,1,0,5
2024-11-02 05:27:45,0,0,5
2024-11-02 05:27:51,0,0,5
2024-11-02 05:27:57,0,0,5
2024-11-02 05:28:04,0,0,5
2024-11-02 05:28:10,0,0,5
2024-11-02 05:28:16,0,0,5
2024-11-02 05:28:23,0,0,5
2024-11-02 05:28:29,0,0,5
2024-11-02 05:28:35,0,0,5
2024-11-02 05:28:41,0,0,5
2024-11-02 05:28:48,0,0,5
2024-11-02 05:28:54,0,0,5
2024-11-02 05:29:00,0,0,5
2024-11-02 05:29:07,0,0,5
2024-11-02 05:29:13,0,0,5
2024-11-02 05:29:19,0,0,5
2024-11-02 05:29:25,0,0,5
2024-11-02 05:29:32,0,0,5
2024-11-02 05:29:38,0,0,5
2024-11-02 05:29:44,0,0,5
2024-11-02 05:29:51,0,0,5
2024-11-02 05:29:57,0,0,5
2024-11-02 05:30:03,0,0,5
2024-11-02 05:30:10,0,0,5
2024-11-02 05:30:16,0,0,5
2024-11-02 05:30:22,0,0,5
2024-11-02 05:30:28,0,0,5
2024-11-02 05:30:35,0,0,5
2024-11-02 05:30:41,0,0,5
2024-11-02 05:30:47,0,0,5
2024-11-02 05:30:54,0,0,5
2024-11-02 05:31:00,0,0,5
2024-11-02 05:31:06,0,0,5
2024-11-02 05:31:12,0,0,5
2024-11-02 05:31:19,0,0,5
2024-11-02 05:31:25,0,0,5
2024-11-02 05:31:31,0,0,5
2024-11-02 05:31:38,0,0,5
2024-11-02 05:31:44,0,0,5
2024-11-02 05:31:50,0,0,5
2024-11-02 05:31:56,0,0,5
2024-11-02 05:32:03,0,0,5
2024-11-02 05:32:09,0,0,5
2024-11-02 05:32:15,0,0,5
2024-11-02 05:32:22,0,0,5
2024-11-02 05:32:28,0,0,5
2024-11-02 05:32:34,0,0,5
2024-11-02 05:32:40,0,0,5
2024-11-02 05:32:47,0,0,5
2024-11-02 05:32:53,0,0,5
2024-11-02 05:32:59,0,0,5
2024-11-02 05:33:05,0,0,5
2024-11-02 05:33:12,0,0,5
2024-11-02 05:33:18,0,0,5
2024-11-02 05:33:24,0,0,5
2024-11-02 05:33:31,0,0,5
2024-11-02 05:33:37,0,0,5
2024-11-02 05:33:43,0,0,5
2024-11-02 05:33:49,0,0,5
2024-11-02 05:33:56,0,0,5
2024-11-02 05:34:02,0,0,5
2024-11-02 05:34:08,0,0,5
2024-11-02 05:34:15,0,0,5
2024-11-02 05:34:21,0,0,5
2024-11-02 05:34:27,0,0,5
2024-11-02 05:34:33,0,0,5
2024-11-02 05:34:40,0,0,5
2024-11-02 05:34:46,0,0,5
2024-11-02 05:34:52,0,0,5
2024-11-02 05:34:59,0,0,5
2024-11-02 05:35:05,0,0,5
2024-11-02 05:35:11,0,0,5
2024-11-02 05:35:17,0,0,5
2024-11-02 05:35:24,0,0,5
2024-11-02 05:35:30,0,0,5
2024-11-02 05:35:36,0,0,5
2024-11-02 05:35:43,0,0,5
2024-11-02 05:35:49,0,0,5
2024-11-02 05:35:55,0,0,5
2024-11-02 05:36:02,0,0,5
2024-11-02 05:36:08,0,0,5
2024-11-02 05:36:14,0,0,5
2024-11-02 05:36:20,0,0,5
2024-11-02 05:36:27,0,0,5
2024-11-02 05:36:33,1,0,5
2024-11-02 05:36:39,0,0,5
